IP Address,Timestamp,HTTP Method,Request Path,Status Code,Response Size,Referrer,User Agent,Request Length,Query Parameters Count,Is Secure,Time of Day,Day of Week,User-Agent Length,Referrer Length,Status Code Category,Request Frequency,Status Code Distribution,Request Size Distribution,User-Agent Diversity,Time Interval Between Requests,Path Frequency,Suspicious Patterns
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfK78,200,118,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:43,Tuesday,160,17,2xx,7708,"defaultdict(<class 'int'>, {'200': 7288, '400': 344, '499': 72, '304': 4})",1750.852750389206,68,0:00:03.460490,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PfKAN&sid=oLgHjI6D6hhHMOYVAAye,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7709,"defaultdict(<class 'int'>, {'200': 7289, '400': 344, '499': 72, '304': 4})",1750.6258918147619,68,0:00:03.460042,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfKAO&sid=oLgHjI6D6hhHMOYVAAye,200,32,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7710,"defaultdict(<class 'int'>, {'200': 7290, '400': 344, '499': 72, '304': 4})",1750.4029831387809,68,0:00:03.459593,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PfKAi&sid=e5oFXl-BKYL1NF9aAAyg,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7711,"defaultdict(<class 'int'>, {'200': 7291, '400': 344, '499': 72, '304': 4})",1750.17624173259,68,0:00:03.459144,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfKAk&sid=e5oFXl-BKYL1NF9aAAyg,200,32,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7712,"defaultdict(<class 'int'>, {'200': 7292, '400': 344, '499': 72, '304': 4})",1749.9534491701245,68,0:00:03.458695,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=websocket&sid=oLgHjI6D6hhHMOYVAAye,400,45,-,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:43,Tuesday,160,1,4xx,7713,"defaultdict(<class 'int'>, {'200': 7292, '400': 345, '499': 72, '304': 4})",1749.7323998444185,68,0:00:03.458247,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=websocket&sid=e5oFXl-BKYL1NF9aAAyg,400,45,-,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:43,Tuesday,160,1,4xx,7714,"defaultdict(<class 'int'>, {'200': 7292, '400': 346, '499': 72, '304': 4})",1749.5114078299196,68,0:00:03.457799,1,No
172.18.28.9,2024-09-10T07:24:45+05:30,GET,/DB/Mobile/v1/GetSubSystemWiseEqptHealthCount/?filter=(((lineId=8))and((systemCode=2))and(systemValidity=ENABLE)and(subSystemValidity=ENABLE)),200,18863,-,Dalvik/2.1.0 (Linux; U; Android 11; CPH1937 Build/RKQ1.200903.002),286,1,No,07:24:45,Tuesday,66,1,2xx,7715,"defaultdict(<class 'int'>, {'200': 7293, '400': 346, '499': 72, '304': 4})",1751.7296176279974,68,0:00:03.457610,1,No
172.18.28.9,2024-09-10T07:24:53+05:30,GET,/DB/Mobile/v1/GetSubSystemWiseEqptHealthCount/?filter=(((systemCode=2))and(locationCode=89)and(lineId=8)and(systemValidity=ENABLE)and(subSystemValidity=ENABLE)),200,780,-,Dalvik/2.1.0 (Linux; U; Android 11; CPH1937 Build/RKQ1.200903.002),302,1,No,07:24:53,Tuesday,66,1,2xx,7716,"defaultdict(<class 'int'>, {'200': 7294, '400': 346, '499': 72, '304': 4})",1751.6036806635561,68,0:00:03.458198,1,No
172.18.28.9,2024-09-10T07:24:54+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfGbj.0&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,07:24:54,Tuesday,111,20,2xx,7717,"defaultdict(<class 'int'>, {'200': 7295, '400': 346, '499': 72, '304': 4})",1751.3768303744978,68,0:00:03.457880,1,No
